HORVU1Hr1G013160	MLOC_13623
HORVU1Hr1G013190	MLOC_10770
HORVU1Hr1G013360	MLOC_21735
HORVU1Hr1G013360	MLOC_41794
HORVU1Hr1G013440	MLOC_76503
HORVU1Hr1G013450	MLOC_61738
HORVU1Hr1G013580	MLOC_11764
HORVU1Hr1G013600	MLOC_38182
HORVU1Hr1G013880	MLOC_26777
HORVU1Hr1G014030	MLOC_44563
HORVU1Hr1G014040	MLOC_71447
HORVU1Hr1G014060	MLOC_59233
HORVU1Hr1G014570	MLOC_9872
HORVU1Hr1G014690	MLOC_45552
HORVU1Hr1G014690	MLOC_51619
HORVU1Hr1G014710	MLOC_67446
HORVU1Hr1G014800	MLOC_44123
HORVU1Hr1G015210	MLOC_78131
HORVU1Hr1G015260	MLOC_12550
HORVU1Hr1G015660	MLOC_52125
HORVU1Hr1G015720	MLOC_57232
HORVU1Hr1G015770	MLOC_74060
HORVU1Hr1G015810	MLOC_36684
HORVU1Hr1G015820	MLOC_31923
HORVU1Hr1G015910	MLOC_16127
HORVU1Hr1G015940	MLOC_14405
HORVU1Hr1G015970	MLOC_33863
HORVU1Hr1G016030	MLOC_27067
HORVU1Hr1G016080	MLOC_15770
HORVU1Hr1G016130	MLOC_46615
HORVU1Hr1G016170	MLOC_74708
HORVU1Hr1G016200	MLOC_77071
HORVU1Hr1G016240	MLOC_63090
HORVU1Hr1G016280	MLOC_18617
HORVU1Hr1G016480	MLOC_68761
HORVU1Hr1G016490	MLOC_11953
HORVU1Hr1G016500	MLOC_37081
HORVU1Hr1G016590	MLOC_36284
HORVU1Hr1G016630	MLOC_38044
HORVU1Hr1G016640	MLOC_38045
HORVU1Hr1G016660	MLOC_64235
HORVU1Hr1G016700	MLOC_59603
HORVU1Hr1G016710	MLOC_43082
HORVU1Hr1G016720	MLOC_21736
HORVU1Hr1G016770	MLOC_68919
HORVU1Hr1G016820	MLOC_67628
HORVU1Hr1G016840	MLOC_80154
HORVU1Hr1G016870	MLOC_19201
HORVU1Hr1G016980	MLOC_13425
HORVU1Hr1G017020	MLOC_74394
HORVU1Hr1G017080	MLOC_23274
HORVU1Hr1G017120	MLOC_56925
HORVU1Hr1G017190	MLOC_64583
HORVU1Hr1G017230	MLOC_72975
HORVU1Hr1G017240	MLOC_6100
HORVU1Hr1G017380	MLOC_78572
HORVU1Hr1G017460	MLOC_37216
HORVU1Hr1G017470	MLOC_65905
HORVU1Hr1G017480	MLOC_69861
HORVU1Hr1G017670	MLOC_52936
HORVU1Hr1G017770	MLOC_52044
HORVU1Hr1G017900	MLOC_68598
HORVU1Hr1G018010	MLOC_68406
HORVU1Hr1G018050	MLOC_32941
HORVU1Hr1G018060	MLOC_3154
HORVU1Hr1G018140	MLOC_18586
HORVU1Hr1G018200	MLOC_73851
HORVU1Hr1G018260	MLOC_17919
HORVU1Hr1G018310	MLOC_61887
HORVU1Hr1G018360	MLOC_62569
HORVU1Hr1G018370	MLOC_1044
HORVU1Hr1G018380	MLOC_53917
HORVU1Hr1G018420	MLOC_2573
HORVU1Hr1G018430	MLOC_31107
HORVU1Hr1G018480	MLOC_73859
HORVU1Hr1G018600	MLOC_67637
HORVU1Hr1G018720	MLOC_5355
HORVU1Hr1G018740	MLOC_60926
HORVU1Hr1G018750	MLOC_66471
HORVU1Hr1G018780	MLOC_72897
HORVU1Hr1G018790	MLOC_30568
HORVU1Hr1G019330	MLOC_63900
HORVU1Hr1G019380	MLOC_7655
HORVU1Hr1G019410	MLOC_67287
HORVU1Hr1G019500	MLOC_19854
HORVU1Hr1G019530	MLOC_62743
HORVU1Hr1G019590	MLOC_74926
HORVU1Hr1G019670	MLOC_81194
HORVU1Hr1G020000	MLOC_58350
HORVU1Hr1G020020	MLOC_59900
HORVU1Hr1G020120	MLOC_61245
HORVU1Hr1G020140	MLOC_58795
HORVU1Hr1G020190	MLOC_4138
HORVU1Hr1G020200	MLOC_13316
HORVU1Hr1G020240	MLOC_21320
HORVU1Hr1G020240	MLOC_4500
HORVU1Hr1G020240	MLOC_50140
HORVU1Hr1G020360	MLOC_10701
HORVU1Hr1G020370	MLOC_6900
HORVU1Hr1G020390	MLOC_44130
HORVU1Hr1G020400	MLOC_76365
HORVU1Hr1G020420	MLOC_8285
HORVU1Hr1G020500	MLOC_6891
HORVU1Hr1G020530	MLOC_34155
HORVU1Hr1G020560	MLOC_62994
HORVU1Hr1G020660	MLOC_57318
HORVU1Hr1G020720	MLOC_54129
HORVU1Hr1G020800	MLOC_70399
HORVU1Hr1G021140	MLOC_38769
HORVU1Hr1G021150	MLOC_51
HORVU1Hr1G021230	MLOC_38772
HORVU1Hr1G021230	MLOC_64454
HORVU1Hr1G021340	MLOC_43473
HORVU1Hr1G021390	MLOC_10420
HORVU1Hr1G021530	MLOC_16126
HORVU1Hr1G021590	MLOC_57001
HORVU1Hr1G021690	MLOC_14916
HORVU1Hr1G021760	MLOC_3077
HORVU1Hr1G021840	MLOC_65750
HORVU1Hr1G021880	MLOC_73112
HORVU1Hr1G022020	MLOC_75000
HORVU1Hr1G022050	MLOC_34572
HORVU1Hr1G022130	MLOC_44501
HORVU1Hr1G022190	MLOC_27099
HORVU1Hr1G022380	MLOC_69951
HORVU1Hr1G022410	MLOC_57555
HORVU1Hr1G022420	MLOC_38287
HORVU1Hr1G022450	MLOC_8834
HORVU1Hr1G022550	MLOC_1615
HORVU1Hr1G022720	MLOC_81901
HORVU1Hr1G022800	MLOC_65140
HORVU1Hr1G022810	MLOC_15962
HORVU1Hr1G022900	MLOC_59327
HORVU1Hr1G023030	MLOC_7558
HORVU1Hr1G023100	MLOC_71878
HORVU1Hr1G023120	MLOC_71879
HORVU1Hr1G023170	MLOC_12624
HORVU1Hr1G023330	MLOC_73459
HORVU1Hr1G023350	MLOC_37547
HORVU1Hr1G023480	MLOC_13156
HORVU1Hr1G023520	MLOC_50975
HORVU1Hr1G023620	MLOC_57890
HORVU1Hr1G023630	MLOC_10856
HORVU1Hr1G023670	MLOC_37452
HORVU1Hr1G023690	MLOC_5947
HORVU1Hr1G024070	MLOC_57911
HORVU1Hr1G024140	MLOC_10613
HORVU1Hr1G024190	MLOC_71257
HORVU1Hr1G024210	MLOC_72504
HORVU1Hr1G024220	MLOC_68267
HORVU1Hr1G024240	MLOC_14621
HORVU1Hr1G024460	MLOC_10115
HORVU1Hr1G024490	MLOC_56075
HORVU1Hr1G024510	MLOC_56078
HORVU1Hr1G024580	MLOC_20566
HORVU1Hr1G024640	MLOC_58032
HORVU1Hr1G024660	MLOC_3699
HORVU1Hr1G024670	MLOC_52679
HORVU1Hr1G024710	MLOC_66332
HORVU1Hr1G024810	MLOC_38549
